PE,Pernambuco
PE,Pernambuco,Recife
PE,Pernambuco,Belo Jardim,Cohab I
PE,Pernambuco,Belo Jardim,Cohab Tres
PE,Pernambuco,Belo Jardim,Cohab Um
PE,Pernambuco,Belo Jardim,Distrito Industrial
PE,Pernambuco,Belo Jardim,Floresta
PE,Pernambuco,Belo Jardim,Frei Damiao
PE,Pernambuco,Belo Jardim,Joao Paulo i
PE,Pernambuco,Belo Jardim,Lm Maria Cristina
PE,Pernambuco,Belo Jardim,Novo
PE,Pernambuco,Belo Jardim,Ponte Nova
PE,Pernambuco,Belo Jardim,Pontilhao Floresta
PE,Pernambuco,Belo Jardim,Santo Antonio
PE,Pernambuco,Belo Jardim,Sao Pedro
PE,Pernambuco,Belo Jardim,Serra dos Ventos
PE,Pernambuco,Belo Jardim,Tambor
PE,Pernambuco,Belo Jardim,Tancredo Neves
PE,Pernambuco,Belo Jardim,Zona Rural
PE,Pernambuco,Belo Oriente
PE,Pernambuco,Bentevi
PE,Pernambuco,Bentevi,Centro
PE,Pernambuco,Bernardo Vieira
PE,Pernambuco,Bernardo Vieira,Centro
PE,Pernambuco,Betânia
PE,Pernambuco,Betânia,Centro
PE,Pernambuco,Betânia,Zona Rural
PE,Pernambuco,Bezerros
PE,Pernambuco,Bezerros,Asa Branca
PE,Pernambuco,Bezerros,Bairro Novo
PE,Pernambuco,Bezerros,Centro
PE,Pernambuco,Bezerros,Ch Horizonte Azul
PE,Pernambuco,Bezerros,Cohab
PE,Pernambuco,Bezerros,Cruzeiro
PE,Pernambuco,Bezerros,Distrito Industrial
PE,Pernambuco,Bezerros,Imaculada Conceicao
PE,Pernambuco,Bezerros,Lm Alto Retiro
PE,Pernambuco,Bezerros,Lm Lago Azul
PE,Pernambuco,Bezerros,Lm Paloma
PE,Pernambuco,Bezerros,Lm Sao Judas Tadeu
PE,Pernambuco,Bezerros,Lm Village Serrinha
PE,Pernambuco,Bezerros,Moco
PE,Pernambuco,Bezerros,n Senhora Luz
PE,Pernambuco,Bezerros,Ns Conceição
PE,Pernambuco,Bezerros,Queimadas Dantas
PE,Pernambuco,Bezerros,Rosario
PE,Pernambuco,Bezerros,Salgado
PE,Pernambuco,Bezerros,Santo Amaro
PE,Pernambuco,Bezerros,Santo Amaro i
PE,Pernambuco,Bezerros,Santo Amaro ii
PE,Pernambuco,Bezerros,Santo Antonio
PE,Pernambuco,Bezerros,Sao Jose
PE,Pernambuco,Bezerros,Sao Pedro
PE,Pernambuco,Bezerros,São Rafael
PE,Pernambuco,Bezerros,Sao Sebastiao
PE,Pernambuco,Bezerros,São Vicente
PE,Pernambuco,Bezerros,Zona Rural
PE,Pernambuco,Bizarra
PE,Pernambuco,Bizarra,Bizarra
PE,Pernambuco,Bizarra,Centro
PE,Pernambuco,Bizarra,Zona Rural
PE,Pernambuco,Boas Novas
PE,Pernambuco,Boas Novas,Centro
PE,Pernambuco,Bodocó
PE,Pernambuco,Bodocó,Centro
PE,Pernambuco,Bodocó,Cohab
PE,Pernambuco,Bodocó,São Francisco
PE,Pernambuco,Bodocó,Sao Jose
PE,Pernambuco,Bodocó,Vila Cohab
PE,Pernambuco,Bodocó,Vila Sao Francisco
PE,Pernambuco,Bodocó,Zona Rural
PE,Pernambuco,Bom Conselho
PE,Pernambuco,Bom Conselho,Centro
PE,Pernambuco,Bom Conselho,Cohab
PE,Pernambuco,Bom Conselho,Posto Fiscal
PE,Pernambuco,Bom Conselho,Zona Rural
PE,Pernambuco,Bom Jardim
PE,Pernambuco,Bom Jardim,Alto Paraiso
PE,Pernambuco,Bom Jardim,Centro
PE,Pernambuco,Bom Jardim,Cohab 1
PE,Pernambuco,Bom Jardim,Cohab Um
PE,Pernambuco,Bom Jardim,Encruzilhada
PE,Pernambuco,Bom Jardim,Neolandia
PE,Pernambuco,Bom Jardim,Pindoba
PE,Pernambuco,Bom Jardim,Sao Jose
PE,Pernambuco,Bom Jardim,Vila Cohabe
PE,Pernambuco,Bom Jardim,Zona Rural
PE,Pernambuco,Bom Nome - São José do Belmonte
PE,Pernambuco,Bom Nome - São José do Belmonte,Centro
PE,Pernambuco,Bonança
PE,Pernambuco,Bonança,Alto Estacao
PE,Pernambuco,Bonança,Alto Novo Horizonte
PE,Pernambuco,Bonança,Alto Pau D'arco
PE,Pernambuco,Bonança,Bonanca
PE,Pernambuco,Bonança,Bonanca i
PE,Pernambuco,Bonança,Bonanca ii
PE,Pernambuco,Bonança,Bonanca Monte Sinai
PE,Pernambuco,Bonança,Centro
PE,Pernambuco,Bonança,Cidade Deus
PE,Pernambuco,Bonança,Varzea Cruz
PE,Pernambuco,Bonança,Zona Rural
PE,Pernambuco,Bonita
PE,Pernambuco,Bonita,Centro
PE,Pernambuco,Bonito
PE,Pernambuco,Bonito,a Cavalcante
PE,Pernambuco,Bonito,Alto Alegre
PE,Pernambuco,Bonito,Bandinha
PE,Pernambuco,Bonito,Boa Vista
PE,Pernambuco,Bonito,Cachoeira
PE,Pernambuco,Bonito,Centro
PE,Pernambuco,Bonito,Cohab
PE,Pernambuco,Bonito,Cohab 1
PE,Pernambuco,Bonito,Cohab Um
PE,Pernambuco,Bonito,Lm Camaratuba
PE,Pernambuco,Bonito,Lm Morena
PE,Pernambuco,Bonito,Lot Frei Damião
PE,Pernambuco,Bonito,Morenar
PE,Pernambuco,Bonito,Multirao
PE,Pernambuco,Bonito,Novo Bonito
PE,Pernambuco,Bonito,Sapucaia
PE,Pernambuco,Bonito,Veloso
PE,Pernambuco,Bonito,Vila Cohab
PE,Pernambuco,Bonito,Zona Rural
PE,Pernambuco,Borborema - Serra Talhada
PE,Pernambuco,Borborema - Serra Talhada,Centro
PE,Pernambuco,Borborema - Tabira
PE,Pernambuco,Borborema - Tabira,Centro
PE,Pernambuco,Borracha
PE,Pernambuco,Borracha,Centro
PE,Pernambuco,Botafogo
PE,Pernambuco,Botafogo,Centro
PE,Pernambuco,Botafogo,Zona Rural
PE,Pernambuco,Brejão
PE,Pernambuco,Brejão,Centro
PE,Pernambuco,Brejão,Cohab
PE,Pernambuco,Brejão,Zona Rural
PE,Pernambuco,Brejinho
PE,Pernambuco,Brejinho,Centro
PE,Pernambuco,Brejinho,Vila Cohab
PE,Pernambuco,Brejinho,Zona Rural
PE,Pernambuco,Brejinho de Tabira
PE,Pernambuco,Brejinho de Tabira,Centro
PE,Pernambuco,Brejinhos 
PE,Pernambuco,Brejo da Madre de Deus
PE,Pernambuco,Brejo da Madre de Deus,Beira Rio
PE,Pernambuco,Brejo da Madre de Deus,Boa Esperanca
PE,Pernambuco,Brejo da Madre de Deus,Canecao
PE,Pernambuco,Brejo da Madre de Deus,Centro
PE,Pernambuco,Brejo da Madre de Deus,Lagoa
PE,Pernambuco,Brejo da Madre de Deus,Nova Galileia
PE,Pernambuco,Brejo da Madre de Deus,Trevo
PE,Pernambuco,Brejo da Madre de Deus,Zona Rural
PE,Pernambuco,Brejo Velho - Paranatama
PE,Pernambuco,Brejo Velho - Paranatama,Centro
PE,Pernambuco,Brejo Velho - Paranatama,Zona Rural
PE,Pernambuco,Buenos Aires
PE,Pernambuco,Buenos Aires,Centro
PE,Pernambuco,Buenos Aires,Vila Nossa Senhora Fatima
PE,Pernambuco,Buenos Aires,Vila Sao Luiz
PE,Pernambuco,Buenos Aires,Zona Rural
PE,Pernambuco,Buíque
PE,Pernambuco,Buíque,Carneiro
PE,Pernambuco,Buíque,Centro
PE,Pernambuco,Buíque,Colinas
PE,Pernambuco,Buíque,Mutirao
PE,Pernambuco,Buíque,Palmeiron
PE,Pernambuco,Buíque,São Benedito
PE,Pernambuco,Buíque,Sao Jose
PE,Pernambuco,Buíque,Vila Mutirão
PE,Pernambuco,Buíque,Vila São José
PE,Pernambuco,Buqueirao
PE,Pernambuco,Caatinga Grande
PE,Pernambuco,Caatinga Grande,Centro
PE,Pernambuco,Caatinga Grande,Zona Rural
PE,Pernambuco,Cabanas - Cachoeirinha
PE,Pernambuco,Cabanas - Cachoeirinha,Centro
PE,Pernambuco,Cabo de Santo Agostinho
PE,Pernambuco,Cabo de Santo Agostinho,Alto Bela Vista
PE,Pernambuco,Cabo de Santo Agostinho,Alto Sao Sebastiao
PE,Pernambuco,Cabo de Santo Agostinho,Cabo 
PE,Pernambuco,Cabo de Santo Agostinho,Calhetas
PE,Pernambuco,Cabo de Santo Agostinho,Centro
PE,Pernambuco,Cabo de Santo Agostinho,Chamerca
PE,Pernambuco,Cabo de Santo Agostinho,Charneca
PE,Pernambuco,Cabo de Santo Agostinho,Charnequinha
PE,Pernambuco,Cabo de Santo Agostinho,Cidade Garapu
PE,Pernambuco,Cabo de Santo Agostinho,Cohab
PE,Pernambuco,Cabo de Santo Agostinho,Cruzeiro
PE,Pernambuco,Cabo de Santo Agostinho,Destilaria
PE,Pernambuco,Cabo de Santo Agostinho,Destilaria Central
PE,Pernambuco,Cabo de Santo Agostinho,Distrito Industrial
PE,Pernambuco,Cabo de Santo Agostinho,Eng Algodoai
PE,Pernambuco,Cabo de Santo Agostinho,Engenho do Meio
PE,Pernambuco,Cabo de Santo Agostinho,Engenho Novo
PE,Pernambuco,Cabo de Santo Agostinho,Engenho Pavao
PE,Pernambuco,Cabo de Santo Agostinho,Engenho Serraria
PE,Pernambuco,Cabo de Santo Agostinho,Enseada
PE,Pernambuco,Cabo de Santo Agostinho,Enseada dos Corais
PE,Pernambuco,Cabo de Santo Agostinho,Fundal Cruzeiro
PE,Pernambuco,Cabo de Santo Agostinho,Gaibu
PE,Pernambuco,Cabo de Santo Agostinho,Gurjau
PE,Pernambuco,Cabo de Santo Agostinho,Ibura Ur-11
PE,Pernambuco,Cabo de Santo Agostinho,Jardim Santo Inacio
PE,Pernambuco,Cabo de Santo Agostinho,Lm Bom Conselho
PE,Pernambuco,Cabo de Santo Agostinho,Lm Jardim Vertentes
PE,Pernambuco,Cabo de Santo Agostinho,Lm Nossa Sra Rosário
PE,Pernambuco,Cabo de Santo Agostinho,Malaquias
PE,Pernambuco,Cabo de Santo Agostinho,Mauriti
PE,Pernambuco,Cabo de Santo Agostinho,n s Rosario
PE,Pernambuco,Cabo de Santo Agostinho,Ns Rosário
PE,Pernambuco,Cabo de Santo Agostinho,P. Dos Carvalhos
PE,Pernambuco,Cabo de Santo Agostinho,Pavao
PE,Pernambuco,Cabo de Santo Agostinho,Pirapama
PE,Pernambuco,Cabo de Santo Agostinho,Ponte Carvahos
PE,Pernambuco,Cabo de Santo Agostinho,Ponte Carvalhos
PE,Pernambuco,Cabo de Santo Agostinho,Ponte Dos Carvalho
PE,Pernambuco,Cabo de Santo Agostinho,Pontes Dos Carvalhos
PE,Pernambuco,Cabo de Santo Agostinho,Pontezinha
PE,Pernambuco,Cabo de Santo Agostinho,Pontizinha
PE,Pernambuco,Cabo de Santo Agostinho,Praia de Enseada dos Coraes
PE,Pernambuco,Cabo de Santo Agostinho,Rosario
PE,Pernambuco,Cabo de Santo Agostinho,Santa Monica
PE,Pernambuco,Cabo de Santo Agostinho,Santo Inacio
PE,Pernambuco,Cabo de Santo Agostinho,Sao Francisco
PE,Pernambuco,Cabo de Santo Agostinho,Sapucaia
PE,Pernambuco,Cabo de Santo Agostinho,Suape
PE,Pernambuco,Cabo de Santo Agostinho,Telemar Uso Interno
PE,Pernambuco,Cabo de Santo Agostinho,Torrinha
PE,Pernambuco,Cabo de Santo Agostinho,Vila Cohab
PE,Pernambuco,Cabo de Santo Agostinho,Vila s c Mucambo
PE,Pernambuco,Cabo de Santo Agostinho,VL Manoel Clementino
PE,Pernambuco,Cabo de Santo Agostinho,Zona Rural
PE,Pernambuco,Cabo do Campo
PE,Pernambuco,Cabo do Campo,Centro
PE,Pernambuco,Cabrobó
PE,Pernambuco,Cabrobó,Aeroporto
PE,Pernambuco,Cabrobó,Alto Temperatura
PE,Pernambuco,Cabrobó,Centro
PE,Pernambuco,Cabrobó,Cohab
PE,Pernambuco,Cabrobó,d Francisco
PE,Pernambuco,Cabrobó,Ipsep
PE,Pernambuco,Cabrobó,Lm Alvorada
PE,Pernambuco,Cabrobó,Santa Rita
PE,Pernambuco,Cabrobó,Sub Estacao
PE,Pernambuco,Cabrobó,Vila Flores
PE,Pernambuco,Cabrobó,Vila Ipsep
PE,Pernambuco,Cabrobó,Vila Nova
PE,Pernambuco,Cabrobó,Zona Rural
PE,Pernambuco,Cachichola
PE,Pernambuco,Cachichola,Centro
PE,Pernambuco,Cachoeira do Roberto
PE,Pernambuco,Cachoeira do Roberto,Centro
PE,Pernambuco,Cachoeira Seca
PE,Pernambuco,Cachoeira Seca,Centro
PE,Pernambuco,Cachoeira Seca,Zona Rural
PE,Pernambuco,Cachoeirinha
PE,Pernambuco,Cachoeirinha,Centro
PE,Pernambuco,Cachoeirinha,Lm Santa Ines
PE,Pernambuco,Cachoeirinha,Noemia Arcelina Melo
PE,Pernambuco,Cachoeirinha,Tancredo Neves
PE,Pernambuco,Cachoeirinha,Vila Pombos
PE,Pernambuco,Cachoeirinha,Vila Sao Sebastiao
PE,Pernambuco,Cachoeirinha - Mirandiba
PE,Pernambuco,Cachoeirinha - Mirandiba,Centro
PE,Pernambuco,Cacimba Nova
PE,Pernambuco,Caetés
PE,Pernambuco,Caetés,Bela Vista
PE,Pernambuco,Caetés,Centro
PE,Pernambuco,Caetés,Cohab
PE,Pernambuco,Caetés,Rua Nova
PE,Pernambuco,Caetés,Zona Rural
PE,Pernambuco,Caicarinha da Penha
PE,Pernambuco,Caicarinha da Penha,Centro
PE,Pernambuco,Caititu
PE,Pernambuco,Caititu,Centro
PE,Pernambuco,Cajueiro
PE,Pernambuco,Cajueiro,Centro
PE,Pernambuco,Calçado
PE,Pernambuco,Calçado,Centro
PE,Pernambuco,Calçado,Cohab
PE,Pernambuco,Caldeirões dos Guedes
PE,Pernambuco,Caldeirões dos Guedes,Centro
PE,Pernambuco,Caldeirões dos Guedes,Zona Rural
PE,Pernambuco,Calumbi
PE,Pernambuco,Calumbi,Centro
PE,Pernambuco,Calumbi,Cohab
PE,Pernambuco,Calumbi,Zona Rural
PE,Pernambuco,Camaragibe
PE,Pernambuco,Camaragibe,Acucena
PE,Pernambuco,Camaragibe,Acude
PE,Pernambuco,Camaragibe,Adeia de Baixo
PE,Pernambuco,Camaragibe,Afogados
PE,Pernambuco,Camaragibe,Alberto Maia
PE,Pernambuco,Camaragibe,Aldeia
PE,Pernambuco,Camaragibe,Aldeia Baixo
PE,Pernambuco,Camaragibe,Aldeia Cima
PE,Pernambuco,Camaragibe,Alto Boa Vista
PE,Pernambuco,Camaragibe,Alto Pe Cicero
PE,Pernambuco,Camaragibe,Alto Santo Antônio
PE,Pernambuco,Camaragibe,Araca
PE,Pernambuco,Camaragibe,Areiera
PE,Pernambuco,Camaragibe,Bairro Estados
PE,Pernambuco,Camaragibe,Bairro Novo
PE,Pernambuco,Camaragibe,Barreiras
PE,Pernambuco,Camaragibe,Beira Rio
PE,Pernambuco,Camaragibe,Borrione
PE,Pernambuco,Camaragibe,Camaragibe
PE,Pernambuco,Camaragibe,Campo Alegre
PE,Pernambuco,Camaragibe,Capibaribe
PE,Pernambuco,Camaragibe,Carmelitas i
PE,Pernambuco,Camaragibe,Carmelitas ii
PE,Pernambuco,Camaragibe,Carmelo
PE,Pernambuco,Camaragibe,Celeiro
PE,Pernambuco,Camaragibe,Centro
PE,Pernambuco,Camaragibe,Ceu Azul
PE,Pernambuco,Camaragibe,Cosme E Damião
PE,Pernambuco,Camaragibe,Dois Unidos
PE,Pernambuco,Camaragibe,Estacao Nova
PE,Pernambuco,Camaragibe,Jardim Campestre i
PE,Pernambuco,Camaragibe,Jardim Primavera
PE,Pernambuco,Camaragibe,Joao Paulo ii
PE,Pernambuco,Camaragibe,Lm Santo Cosme Damiao
PE,Pernambuco,Camaragibe,Lm Sao Joao s Paulo
PE,Pernambuco,Camaragibe,Nossa Senhora do Carmo
PE,Pernambuco,Camaragibe,Ns Carmo
PE,Pernambuco,Camaragibe,Ns Nazare
PE,Pernambuco,Camaragibe,Pau Ferro
PE,Pernambuco,Camaragibe,Rosa Selvagem
PE,Pernambuco,Camaragibe,Santa Maria
PE,Pernambuco,Camaragibe,Santa Monica
PE,Pernambuco,Camaragibe,Santana
PE,Pernambuco,Camaragibe,Sao Jorge
PE,Pernambuco,Camaragibe,Sao Paulo Sao Pedro
PE,Pernambuco,Camaragibe,Sitio Areinha
PE,Pernambuco,Camaragibe,Tabatibga
PE,Pernambuco,Camaragibe,Tabatinga
PE,Pernambuco,Camaragibe,Tabatinga 2
PE,Pernambuco,Camaragibe,Teresopolis
PE,Pernambuco,Camaragibe,Timbi
PE,Pernambuco,Camaragibe,Vale das Pedreiras
PE,Pernambuco,Camaragibe,Varzea
PE,Pernambuco,Camaragibe,Varzea Ur 7
PE,Pernambuco,Camaragibe,Vasco da Gama
PE,Pernambuco,Camaragibe,Viana
PE,Pernambuco,Camaragibe,Vila Fabrica
PE,Pernambuco,Camaragibe,Vila Moco
PE,Pernambuco,Camela
PE,Pernambuco,Camela,Centro
PE,Pernambuco,Camela,Lm Santo Antonio
PE,Pernambuco,Camela,Ruropolis
PE,Pernambuco,Camela,Zona Rural
PE,Pernambuco,Camocim de São Félix
PE,Pernambuco,Camocim de São Félix,Centro
PE,Pernambuco,Camocim de São Félix,Cohab
PE,Pernambuco,Camocim de São Félix,Cruzeiro
PE,Pernambuco,Camocim de São Félix,Lm Santo Antonio
PE,Pernambuco,Camocim de São Félix,Multirão
PE,Pernambuco,Camocim de São Félix,Nova Republica
PE,Pernambuco,Camocim de São Félix,Zona Rural
PE,Pernambuco,Campina de Duas Pedras
PE,Pernambuco,Campo Alegre
PE,Pernambuco,Campo Alegre,Centro
PE,Pernambuco,Campo Alegre,Zona Rural
PE,Pernambuco,Campo Grande
PE,Pernambuco,Campo Grande,Centro
PE,Pernambuco,Campo Grande,Zona Rural
PE,Pernambuco,Campo Santo
PE,Pernambuco,Campo Santo,Centro
PE,Pernambuco,Campo Sujo
PE,Pernambuco,Campo Sujo,Centro
PE,Pernambuco,Campo Sujo,Zona Rural
PE,Pernambuco,Campos Frios
PE,Pernambuco,Campos Frios,Centro
PE,Pernambuco,Camutanga
PE,Pernambuco,Camutanga,Centro
PE,Pernambuco,Camutanga,Zona Rural
PE,Pernambuco,Canaã - Caruaru
PE,Pernambuco,Canaã - Caruaru,Centro
PE,Pernambuco,Canaã - Catende
PE,Pernambuco,Canaã - Catende,Centro
PE,Pernambuco,Canaan
PE,Pernambuco,Canaan,Centro
PE,Pernambuco,Canhotinho
PE,Pernambuco,Canhotinho,Alto Vento
PE,Pernambuco,Canhotinho,Centro
PE,Pernambuco,Canhotinho,Cohab
PE,Pernambuco,Canhotinho,Cohab Dois
PE,Pernambuco,Canhotinho,Zona Rural
PE,Pernambuco,Capela Nova
PE,Pernambuco,Capivara - Frei Miguelinho
PE,Pernambuco,Capivara - Frei Miguelinho,Centro
PE,Pernambuco,Capoeiras
PE,Pernambuco,Capoeiras,Centro
PE,Pernambuco,Capoeiras,Cohab
PE,Pernambuco,Capoeiras,Zona Rural
PE,Pernambuco,Caraíbas - Arcoverde
PE,Pernambuco,Caraíbas - Arcoverde,Centro
PE,Pernambuco,Caraíbas - Arcoverde,Zona Rural
PE,Pernambuco,Caraíbas - Santa Maria da Boa Vista
PE,Pernambuco,Caraibeiras
PE,Pernambuco,Caraibeiras,Centro
PE,Pernambuco,Caraibeiro
PE,Pernambuco,Caramuru - Santa Maria do Cambucá
PE,Pernambuco,Caramuru - Santa Maria do Cambucá,Centro
PE,Pernambuco,Caramuru - Santa Maria do Cambucá,Zona Rural
PE,Pernambuco,Carapuca
PE,Pernambuco,Carice
PE,Pernambuco,Carice,Centro
PE,Pernambuco,Caririmirim
PE,Pernambuco,Caririmirim,Centro
PE,Pernambuco,Carmo
PE,Pernambuco,Carmo,Centro
PE,Pernambuco,Carnaíba
PE,Pernambuco,Carnaíba,Alto Acude
PE,Pernambuco,Carnaíba,Cemiterio
PE,Pernambuco,Carnaíba,Centro
PE,Pernambuco,Carnaubeira da Penha
PE,Pernambuco,Carnaubeira da Penha,Centro
PE,Pernambuco,Carnaubeira da Penha,Cohab
PE,Pernambuco,Carnaubeira da Penha,Zona Rural
PE,Pernambuco,Carne de Vaca
PE,Pernambuco,Carne de Vaca,Centro
PE,Pernambuco,Carneiro
PE,Pernambuco,Carneiro,Centro
PE,Pernambuco,Caroalina
PE,Pernambuco,Caroalina,Centro
PE,Pernambuco,Carpina
PE,Pernambuco,Carpina,3 Marias
PE,Pernambuco,Carpina,Bairro Novo
PE,Pernambuco,Carpina,Caja
PE,Pernambuco,Carpina,Caja 3
PE,Pernambuco,Carpina,Caja 4
PE,Pernambuco,Carpina,Camboa
PE,Pernambuco,Carpina,Centro
PE,Pernambuco,Carpina,Cha Castelo
PE,Pernambuco,Carpina,Cha Tabocas
PE,Pernambuco,Carpina,Cohab
PE,Pernambuco,Carpina,Cohab 1
PE,Pernambuco,Carpina,Cohab 2
PE,Pernambuco,Carpina,Cohab Dois
PE,Pernambuco,Carpina,Cohab I
PE,Pernambuco,Carpina,Cohab Um
PE,Pernambuco,Carpina,Florestinha
PE,Pernambuco,Carpina,Ipsep
PE,Pernambuco,Carpina,Jardim Neopolis
PE,Pernambuco,Carpina,Jardim Santa Cruz
PE,Pernambuco,Carpina,Jua
PE,Pernambuco,Carpina,Lagoa Carro
PE,Pernambuco,Carpina,Limeira
PE,Pernambuco,Carpina,Minhoto Dois
PE,Pernambuco,Carpina,Ns Aparecida
PE,Pernambuco,Carpina,Ouro Preto
PE,Pernambuco,Carpina,Petribu
PE,Pernambuco,Carpina,Pindoba
PE,Pernambuco,Carpina,Pomares c Cacique
PE,Pernambuco,Carpina,Santa Cruz
PE,Pernambuco,Carpina,Santana
PE,Pernambuco,Carpina,Santo Antonio
PE,Pernambuco,Carpina,Sao Francisco
PE,Pernambuco,Carpina,Sao Jose
PE,Pernambuco,Carpina,Sao Sebastiao
PE,Pernambuco,Carpina,Senzala
PE,Pernambuco,Carpina,Teto Povo
PE,Pernambuco,Carpina,Teto Povo 1
PE,Pernambuco,Carpina,Teto Povo Dois
PE,Pernambuco,Carpina,Teto Povo Tres
PE,Pernambuco,Carpina,Teto Povo Um
PE,Pernambuco,Carpina,Texaco
PE,Pernambuco,Carpina,Tres Marias
PE,Pernambuco,Carpina,Vassouras
PE,Pernambuco,Carpina,Zona Rural
PE,Pernambuco,Carqueja
PE,Pernambuco,Carqueja,Centro
PE,Pernambuco,Carrapicho
PE,Pernambuco,Caruaru
PE,Pernambuco,Caruaru,Agamenon Magalhaes
PE,Pernambuco,Caruaru,Água Fria
PE,Pernambuco,Caruaru,Alto da Balança
PE,Pernambuco,Caruaru,Alto Moura
PE,Pernambuco,Caruaru,Alvorada Ipojuca
PE,Pernambuco,Caruaru,Boa Visanta II
PE,Pernambuco,Caruaru,Boa Vista
PE,Pernambuco,Caruaru,Caiuca
PE,Pernambuco,Caruaru,Cedro
PE,Pernambuco,Caruaru,Centenario
PE,Pernambuco,Caruaru,Centro
PE,Pernambuco,Caruaru,Cidade Alta
PE,Pernambuco,Caruaru,Cidade Jardim
PE,Pernambuco,Caruaru,Cohab 2
PE,Pernambuco,Caruaru,Cohab 3
PE,Pernambuco,Caruaru,Cohab Tres
PE,Pernambuco,Caruaru,Distr Industrial
PE,Pernambuco,Caruaru,Distrito Industrial
PE,Pernambuco,Caruaru,Divinopolis
PE,Pernambuco,Caruaru,Fernando Lira
PE,Pernambuco,Caruaru,Heliópolis
PE,Pernambuco,Caruaru,Indianápolis
PE,Pernambuco,Caruaru,Indianopolis
PE,Pernambuco,Caruaru,Industrial
PE,Pernambuco,Caruaru,Inocoop
PE,Pernambuco,Caruaru,Jardim Panorama
PE,Pernambuco,Caruaru,Jardim Vista Alegre
PE,Pernambuco,Caruaru,Joao Barreto
PE,Pernambuco,Caruaru,Joao Mota
PE,Pernambuco,Caruaru,Jose Carlos Oliveira
PE,Pernambuco,Caruaru,Jose Liberato
PE,Pernambuco,Caruaru,Kennedy
PE,Pernambuco,Caruaru,Lagoa Algodao
PE,Pernambuco,Caruaru,Lm Jose c Oliveira
PE,Pernambuco,Caruaru,Loteamento Novo Milênio
PE,Pernambuco,Caruaru,Luiz Gonzaga
PE,Pernambuco,Caruaru,Maria Auxiliadora
PE,Pernambuco,Caruaru,Maria Gorete
PE,Pernambuco,Caruaru,Mauricio Nassau
PE,Pernambuco,Caruaru,Morro Bom Jesus
PE,Pernambuco,Caruaru,Mutirao
PE,Pernambuco,Caruaru,Nova Caruaru
PE,Pernambuco,Caruaru,Ns Dores
PE,Pernambuco,Caruaru,Paraiso
PE,Pernambuco,Caruaru,Parque Cidade
PE,Pernambuco,Caruaru,Petropolis
PE,Pernambuco,Caruaru,Pinheiropolis
PE,Pernambuco,Caruaru,Recife
PE,Pernambuco,Caruaru,Rendeiras
PE,Pernambuco,Caruaru,Riachao
PE,Pernambuco,Caruaru,Rosanopolis
PE,Pernambuco,Caruaru,Salgado
PE,Pernambuco,Caruaru,Santa Maria
PE,Pernambuco,Caruaru,Santa Maria Gorete
PE,Pernambuco,Caruaru,Santa Rosa
PE,Pernambuco,Caruaru,Sao Francisco
PE,Pernambuco,Caruaru,Sao Joao Escocia
PE,Pernambuco,Caruaru,Severino Afonso
PE,Pernambuco,Caruaru,Sol Poente
PE,Pernambuco,Caruaru,Universitario
PE,Pernambuco,Caruaru,Vassoral
PE,Pernambuco,Caruaru,Vassoural
PE,Pernambuco,Caruaru,Vila Diocesana
PE,Pernambuco,Caruaru,Vila Kennedy
PE,Pernambuco,Caruaru,Vila Padre Inacio
PE,Pernambuco,Caruaru,Zona Rural
PE,Pernambuco,Caruaru Rural
PE,Pernambuco,Casinhas
PE,Pernambuco,Casinhas,Alto Cruz
PE,Pernambuco,Casinhas,Casinhas
PE,Pernambuco,Casinhas,Centro
PE,Pernambuco,Casinhas,Oratorio
PE,Pernambuco,Casinhas,Zona Rural
PE,Pernambuco,Catalunha
PE,Pernambuco,Catende
PE,Pernambuco,Catende,Avila
PE,Pernambuco,Catende,Baixa Verde
PE,Pernambuco,Catende,Buranhem
PE,Pernambuco,Catende,Canaa
PE,Pernambuco,Catende,Casa Nova
PE,Pernambuco,Catende,Centro
PE,Pernambuco,Catende,Dezoito
PE,Pernambuco,Catende,Diamante
PE,Pernambuco,Catende,Engenho Catende
PE,Pernambuco,Catende,Insilene
PE,Pernambuco,Catende,Matadouro
PE,Pernambuco,Catende,Mendo Sampaio
PE,Pernambuco,Catende,Monte Alegre
PE,Pernambuco,Catende,Nova Catende
PE,Pernambuco,Catende,Panelas Pirangi
PE,Pernambuco,Catende,Rocadinho
PE,Pernambuco,Catende,Saudade
PE,Pernambuco,Catende,Zona Rural
PE,Pernambuco,Catimbau
PE,Pernambuco,Catimbau,Centro
PE,Pernambuco,Catuama
PE,Pernambuco,Catuama,Centro
PE,Pernambuco,Caueiras
PE,Pernambuco,Caueiras,Centro
PE,Pernambuco,Cedro
PE,Pernambuco,Cedro,Centro
PE,Pernambuco,Cedro,Cohab
PE,Pernambuco,Cedro,Zona Rural
PE,Pernambuco,Cercadinho
PE,Pernambuco,Cercadinho,Centro
PE,Pernambuco,Chã de Alegria
PE,Pernambuco,Chã de Alegria,Centro
PE,Pernambuco,Chã de Alegria,Maria Doralice
PE,Pernambuco,Chã de Alegria,Vila Campo
PE,Pernambuco,Chã de Alegria,Zona Rural
PE,Pernambuco,Cha de Catolé
PE,Pernambuco,Chã de Cruz
PE,Pernambuco,Chã de Cruz,Centro
PE,Pernambuco,Cha de Santo Antônio
PE,Pernambuco,Chã do Carmo
PE,Pernambuco,Chã do Carmo,Centro
PE,Pernambuco,Chã do Carmo,Zona Rural
