AL,Alagoas
AL,Alagoas,Maceió
AL,Alagoas,Matriz de Camaragibe,Rio Novo
AL,Alagoas,Messias
AL,Alagoas,Messias,Centro
AL,Alagoas,Miaí de Baixo
AL,Alagoas,Miaí de Baixo,Centro
AL,Alagoas,Miaí de Cima
AL,Alagoas,Miaí de Cima,Centro
AL,Alagoas,Minador do Lúcio
AL,Alagoas,Minador do Negrão
AL,Alagoas,Minador do Negrão,Centro
AL,Alagoas,Minador do Negrão,Zona Rural
AL,Alagoas,Monteirópolis
AL,Alagoas,Monteirópolis,Centro
AL,Alagoas,Monteirópolis,Poço
AL,Alagoas,Moxotó
AL,Alagoas,Moxotó,Centro
AL,Alagoas,Mucurí
AL,Alagoas,Mumbaca
AL,Alagoas,Mumbaca,Centro
AL,Alagoas,Munguba
AL,Alagoas,Munguba,Centro
AL,Alagoas,Murici
AL,Alagoas,Murici,Bom Parto
AL,Alagoas,Murici,Campo Grande
AL,Alagoas,Murici,Centro
AL,Alagoas,Murici,Cidade Alta
AL,Alagoas,Murici,Cidade Nova
AL,Alagoas,Murici,Farol
AL,Alagoas,Novo Lino
AL,Alagoas,Novo Lino,Centro
AL,Alagoas,Novo Rio - Igaci
AL,Alagoas,Novo Rio - Igaci,Centro
AL,Alagoas,Oití
AL,Alagoas,Oití,Centro
AL,Alagoas,Olho D'Água da Cerca
AL,Alagoas,Olho D'Água da Cerca,Centro
AL,Alagoas,Olho D'Água das Dandanhas
AL,Alagoas,Olho D'Água das Dandanhas,Centro
AL,Alagoas,Olho D'Água das Flores
AL,Alagoas,Olho D'Água das Flores,Centro
AL,Alagoas,Olho D'Água das Flores,Nova Brasília
AL,Alagoas,Olho D'Água do Casado
AL,Alagoas,Olho D'Água do Casado,Centro
AL,Alagoas,Olho D'Água Grande
AL,Alagoas,Olho D'Água Grande,Centro
AL,Alagoas,Olho D'Água Novo
AL,Alagoas,Olho D'Água Novo,Centro
AL,Alagoas,Olho Dágua
AL,Alagoas,Olho Dágua,Centro
AL,Alagoas,Olivença
AL,Alagoas,Olivença,Centro
AL,Alagoas,Ouro Branco
AL,Alagoas,Ouro Branco,Centro
AL,Alagoas,Ouro Branco,Luiz Gonzaga
AL,Alagoas,Pai Mané
AL,Alagoas,Pai Mané,Centro
AL,Alagoas,Palestina
AL,Alagoas,Palestina,Centro
AL,Alagoas,Palmeira Alta - Penedo
AL,Alagoas,Palmeira Alta - Penedo,Centro
AL,Alagoas,Palmeira dos Índios
AL,Alagoas,Palmeira dos Índios,Alto Cruzeiro
AL,Alagoas,Palmeira dos Índios,Canafistula
AL,Alagoas,Palmeira dos Índios,Centro
AL,Alagoas,Palmeira dos Índios,Eucalipto
AL,Alagoas,Palmeira dos Índios,Jardim Brasil
AL,Alagoas,Palmeira dos Índios,Jatiúca
AL,Alagoas,Palmeira dos Índios,Juca Sampaio
AL,Alagoas,Palmeira dos Índios,Maria t Cavalcante
AL,Alagoas,Palmeira dos Índios,Palmeira Fora
AL,Alagoas,Palmeira dos Índios,Paraiso
AL,Alagoas,Palmeira dos Índios,Ribeira
AL,Alagoas,Palmeira dos Índios,Santa Esmeralda
AL,Alagoas,Palmeira dos Índios,Sao Cristovao
AL,Alagoas,Palmeira dos Índios,Sao Francisco
AL,Alagoas,Palmeira dos Índios,São Luiz
AL,Alagoas,Palmeira dos Índios,Tabuleiro dos Martins
AL,Alagoas,Palmeira dos Índios,Tenorio Cavalcante
AL,Alagoas,Palmeira dos Índios,Vila Joao Xxiii
AL,Alagoas,Palmeira dos Índios,Vila Maria
AL,Alagoas,Palmeira dos Índios,Vila Nova
AL,Alagoas,Palmeira dos Índios,Xucurus
AL,Alagoas,Palmeira dos Pretos
AL,Alagoas,Palmeira dos Pretos,Centro
AL,Alagoas,Palmeirinha
AL,Alagoas,Palmeirinha,Centro
AL,Alagoas,Pão de Açúcar
AL,Alagoas,Pão de Açúcar,Centro
AL,Alagoas,Pariconha
AL,Alagoas,Pariconha,Centro
AL,Alagoas,Paripueira
AL,Alagoas,Paripueira,Centro
AL,Alagoas,Paripueira,Costa Brava
AL,Alagoas,Paripueira,Ilha Da Croa
AL,Alagoas,Paripueira,Zona Rural
AL,Alagoas,Passo de Camaragibe
AL,Alagoas,Passo de Camaragibe,Centro
AL,Alagoas,Paturas
AL,Alagoas,Paturas,Centro
AL,Alagoas,Pau D'Arco - Arapiraca
AL,Alagoas,Pau D'Arco - Arapiraca,Centro
AL,Alagoas,Pau D'Arco - Lagoa da Canoa
AL,Alagoas,Pau D'Arco - Lagoa da Canoa,Centro
AL,Alagoas,Pau do Descanso - Campo Alegre
AL,Alagoas,Pau do Descanso - Campo Alegre,Centro
AL,Alagoas,Pau Ferro - Craibas
AL,Alagoas,Pau Ferro - Craibas,Centro
AL,Alagoas,Paulo Jacinto
AL,Alagoas,Paulo Jacinto,Centro
AL,Alagoas,Pé Leve
AL,Alagoas,Pé Leve,Centro
AL,Alagoas,Pé Leve Velho
AL,Alagoas,Pé Leve Velho,Centro
AL,Alagoas,Pedrão
AL,Alagoas,Penedinho
AL,Alagoas,Penedinho,Centro
AL,Alagoas,Penedo
AL,Alagoas,Penedo,Centro
AL,Alagoas,Penedo,Cohab
AL,Alagoas,Penedo,Dom Constantino
AL,Alagoas,Penedo,Jardim Tropical
AL,Alagoas,Penedo,Poço
AL,Alagoas,Penedo,Santa Izabel
AL,Alagoas,Penedo,Santa Luzia
AL,Alagoas,Penedo,Santo Antonio
AL,Alagoas,Penedo,Senhor Bonfim
AL,Alagoas,Penedo,Tabuleiro dos Martins
AL,Alagoas,Penedo,Vila Matias
AL,Alagoas,Penedo,Vitoria
AL,Alagoas,Penedo,Zona Rural
AL,Alagoas,Periperí
AL,Alagoas,Periperí,Centro
AL,Alagoas,Peroba
AL,Alagoas,Peroba,Centro
AL,Alagoas,Perucaba
AL,Alagoas,Perucaba,Centro
AL,Alagoas,Piaçabuçu
AL,Alagoas,Piaçabuçu,Brasilia
AL,Alagoas,Piaçabuçu,Centro
AL,Alagoas,Piaçabuçu,Paciencia
AL,Alagoas,Piaçabuçu,Zona Rural
AL,Alagoas,Piau
AL,Alagoas,Piau,Centro
AL,Alagoas,Pilar
AL,Alagoas,Pilar,Centro
AL,Alagoas,Pilar,Cha Pilar
AL,Alagoas,Pilar,Zona Rural
AL,Alagoas,Pindoba
AL,Alagoas,Pindoba,Centro
AL,Alagoas,Pindoba,Poço
AL,Alagoas,Piranhas 
AL,Alagoas,Piranhas ,Centro
AL,Alagoas,Piranhas ,Vila Sergipe
AL,Alagoas,Piranhas ,Vila Xingo
AL,Alagoas,Piranhas ,Xingó
AL,Alagoas,Piranhas - Traipu
AL,Alagoas,Piranhas - Traipu,Centro
AL,Alagoas,Poço das Trincheiras
AL,Alagoas,Poço das Trincheiras,Centro
AL,Alagoas,Pólo Cloroquímico de Alagoas
AL,Alagoas,Pólo Cloroquímico de Alagoas,Centro
AL,Alagoas,Pólo Cloroquímico de Alagoas,Polo Cloroquimico
AL,Alagoas,Ponta da Serra
AL,Alagoas,Ponta do Mangue
AL,Alagoas,Ponta do Mangue,Centro
AL,Alagoas,Ponta do Mangue,Ponta Mangue
AL,Alagoas,Ponta Morfina
AL,Alagoas,Ponta Morfina,Centro
AL,Alagoas,Pontal de Coruripe
AL,Alagoas,Pontal de Coruripe,Centro
AL,Alagoas,Pontal do Peba
AL,Alagoas,Pontal do Peba,Centro
AL,Alagoas,Pontes
AL,Alagoas,Porangaba
AL,Alagoas,Porangaba,Centro
AL,Alagoas,Porto Calvo
AL,Alagoas,Porto Calvo,Centro
AL,Alagoas,Porto Calvo,Zona Rural
AL,Alagoas,Porto da Rua
AL,Alagoas,Porto da Rua,Centro
AL,Alagoas,Porto de Pedras
AL,Alagoas,Porto de Pedras,Centro
AL,Alagoas,Porto de Pedras,Salinas
AL,Alagoas,Porto Real do Colégio
AL,Alagoas,Porto Real do Colégio,Centro
AL,Alagoas,Potengi
AL,Alagoas,Potengi,Centro
AL,Alagoas,Povoado de Coité
AL,Alagoas,Povoado de Coité,Centro
AL,Alagoas,Povoado Malhadas
AL,Alagoas,Povoado Mangabeira
AL,Alagoas,Povoado Pai João
AL,Alagoas,Povoado Pai João,Centro
AL,Alagoas,Povoado Pedra
AL,Alagoas,Povoado Pedra,Centro
AL,Alagoas,Povoado Pimenteira
AL,Alagoas,Povoado Pimenteira,Centro
AL,Alagoas,Povoado Quitunde
AL,Alagoas,Povoado Quitunde,Centro
AL,Alagoas,Povoado Sítio Jacaré
AL,Alagoas,Povoado Sítio Jacaré,Centro
AL,Alagoas,Povoado Tabocal
AL,Alagoas,Povoado Tabocal,Centro
AL,Alagoas,Povoado Terra Nova
AL,Alagoas,Povoado Terra Nova,Centro
AL,Alagoas,Poxim
AL,Alagoas,Poxim,Centro
AL,Alagoas,Praia do Francês
AL,Alagoas,Praia do Francês,Centro
AL,Alagoas,Praia do Francês,Padre Miguel
AL,Alagoas,Praia do Francês,Poço
AL,Alagoas,Praia do Francês,Praia Frances
AL,Alagoas,Prata
AL,Alagoas,Prata,Centro
AL,Alagoas,Promissão
AL,Alagoas,Promissão,Centro
AL,Alagoas,Quebrângulo
AL,Alagoas,Quebrângulo,Centro
AL,Alagoas,Quebrângulo,Farol
AL,Alagoas,Quebrângulo,Ouro Preto
AL,Alagoas,Rancho Alegre
AL,Alagoas,Rancho Alegre,Centro
AL,Alagoas,Restinga
AL,Alagoas,Restinga,Centro
AL,Alagoas,Retiro - Junqueiro
AL,Alagoas,Retiro - Junqueiro,Centro
AL,Alagoas,Retiro - Piaçabuçu
AL,Alagoas,Retiro - Piaçabuçu,Centro
AL,Alagoas,Retiro - Porto Real do Colégio
AL,Alagoas,Retiro - Porto Real do Colégio,Centro
AL,Alagoas,Riachão
AL,Alagoas,Riachão - Junqueiro
AL,Alagoas,Riachão - Junqueiro,Centro
AL,Alagoas,Riacho
AL,Alagoas,Riacho,Centro
AL,Alagoas,Riacho
AL,Alagoas,Riacho da Jacobina
AL,Alagoas,Riacho da Jacobina,Centro
AL,Alagoas,Rio Largo
AL,Alagoas,Rio Largo,Alto do Ginásio
AL,Alagoas,Rio Largo,Canaã
AL,Alagoas,Rio Largo,Centro
AL,Alagoas,Rio Largo,Gustavo Paiva
AL,Alagoas,Rio Largo,Lourenco Albuquerque
AL,Alagoas,Rio Largo,Mata Rolo
AL,Alagoas,Rio Largo,Ponta Grossa
AL,Alagoas,Rio Largo,Ponta Verde
AL,Alagoas,Rio Largo,Santa Amélia
AL,Alagoas,Rio Largo,Tabuleiro dos Martins
AL,Alagoas,Rio Largo,Tabuleiro Pinto
AL,Alagoas,Rio Largo,Vila Marilia
AL,Alagoas,Rio Largo,Vila Minha Aldeia
AL,Alagoas,Rio Largo,Zona Rural
AL,Alagoas,Rocha Cavalcante
AL,Alagoas,Rocha Cavalcante,Centro
AL,Alagoas,Roteiro
AL,Alagoas,Roteiro,Centro
AL,Alagoas,Rua Nova - Quebrangulo
AL,Alagoas,Sagrada Família
AL,Alagoas,Sagrada Família,Centro
AL,Alagoas,Sampaio
AL,Alagoas,Sampaio,Centro
AL,Alagoas,Santa Cruz
AL,Alagoas,Santa Cruz do Deserto
AL,Alagoas,Santa Cruz do Deserto,Centro
AL,Alagoas,Santa Efigênia
AL,Alagoas,Santa Efigênia,Centro
AL,Alagoas,Santa Fé
AL,Alagoas,Santa Fé,Centro
AL,Alagoas,Santa Luzia
AL,Alagoas,Santa Luzia,Centro
AL,Alagoas,Santa Luzia do Norte
AL,Alagoas,Santa Luzia do Norte,Centro
AL,Alagoas,Santa Rita
AL,Alagoas,Santa Rita,Centro
AL,Alagoas,Santa Terezinha
AL,Alagoas,Santa Terezinha,Centro
AL,Alagoas,Santana do Ipanema
AL,Alagoas,Santana do Ipanema,Arthur Moraes
AL,Alagoas,Santana do Ipanema,Camuringa
AL,Alagoas,Santana do Ipanema,Camuxinga
AL,Alagoas,Santana do Ipanema,Canaã
AL,Alagoas,Santana do Ipanema,Centro
AL,Alagoas,Santana do Ipanema,Domingos Acacio
AL,Alagoas,Santana do Ipanema,Floresta
AL,Alagoas,Santana do Ipanema,Monumento
AL,Alagoas,Santana do Ipanema,Poço
AL,Alagoas,Santana do Ipanema,Sao Cristovao
AL,Alagoas,Santana do Ipanema,Sao Jose
AL,Alagoas,Santana do Ipanema,Sao Pedro
AL,Alagoas,Santana do Mundaú
AL,Alagoas,Santana do Mundaú,Centro
AL,Alagoas,Santo Antônio - Atalaia
AL,Alagoas,Santo Antônio - Atalaia,Centro
AL,Alagoas,Santo Antônio - Palmeira dos Índios
AL,Alagoas,Santo Antônio - Palmeira dos Índios,Centro
AL,Alagoas,Santo Inácio Novo
AL,Alagoas,Santo Inácio Novo,Centro
AL,Alagoas,São Benedito
AL,Alagoas,São Benedito,Centro
AL,Alagoas,São Bento
AL,Alagoas,São Bento,Centro
AL,Alagoas,São Brás
AL,Alagoas,São Brás,Alto Cemiterio
AL,Alagoas,São Brás,Centro
AL,Alagoas,São Brás,Zona Rural
AL,Alagoas,São Cristóvão
AL,Alagoas,São Cristóvão,Centro
AL,Alagoas,São Francisco - Arapiraca
AL,Alagoas,São Francisco - Arapiraca,Centro
AL,Alagoas,São José - Traipu
AL,Alagoas,São José - Traipu,Centro
AL,Alagoas,São José da Laje
AL,Alagoas,São José da Laje,Centro
AL,Alagoas,São José da Laje,Juriti
AL,Alagoas,São José da Laje,Zona Rural
AL,Alagoas,São José da Tapera
AL,Alagoas,São José da Tapera,Centro
AL,Alagoas,São José da Tapera,Zona Rural
AL,Alagoas,São Luís do Quitunde
AL,Alagoas,São Luís do Quitunde,Centro
AL,Alagoas,São Luís do Quitunde,Tabuleiro dos Martins
AL,Alagoas,São Marcos
AL,Alagoas,São Marcos,Centro
AL,Alagoas,São Miguel dos Campos
AL,Alagoas,São Miguel dos Campos,Bebedouro
AL,Alagoas,São Miguel dos Campos,Boa Vista
AL,Alagoas,São Miguel dos Campos,Centro
AL,Alagoas,São Miguel dos Campos,Fatima
AL,Alagoas,São Miguel dos Campos,Geraldo Sampaio
AL,Alagoas,São Miguel dos Campos,Humberto Alves
AL,Alagoas,São Miguel dos Campos,Paraiso
AL,Alagoas,São Miguel dos Campos,Poço
AL,Alagoas,São Miguel dos Campos,Tabuleiro dos Martins
AL,Alagoas,São Miguel dos Campos,Zona Rural
AL,Alagoas,São Miguel dos Campos,Zona Urbana
AL,Alagoas,São Miguel dos Milagres
AL,Alagoas,São Miguel dos Milagres,Centro
AL,Alagoas,São Miguel dos Milagres,Porto Rua
AL,Alagoas,São Miguel dos Milagres,Zona Rural
AL,Alagoas,São Sebastião 
AL,Alagoas,São Sebastião ,Campo
AL,Alagoas,São Sebastião ,Centro
AL,Alagoas,São Sebastião ,Rancho Alegre
AL,Alagoas,São Sebastião ,Zona Rural
AL,Alagoas,São Sebastião - Delmiro Gouveia
AL,Alagoas,São Sebastião - Delmiro Gouveia,Centro
AL,Alagoas,Sapé - Atalaia
AL,Alagoas,Sapé - Atalaia,Centro
AL,Alagoas,Sapé - Igreja Nova
AL,Alagoas,Sapé - Igreja Nova,Centro
AL,Alagoas,Sapé - São Sebastião
AL,Alagoas,Sapé - São Sebastião,Centro
AL,Alagoas,Satuba
AL,Alagoas,Satuba,Centro
AL,Alagoas,Senador Rui Palmeira
AL,Alagoas,Senador Rui Palmeira,Centro
AL,Alagoas,Serra
AL,Alagoas,Serra,Centro
AL,Alagoas,Serra,Zona Rural
AL,Alagoas,Serra do Bernardino
AL,Alagoas,Serra do Bernardino,Centro
AL,Alagoas,Serra do Cavalo
AL,Alagoas,Serra Verde I
AL,Alagoas,Sinimbu
AL,Alagoas,Sinimbu,Centro
AL,Alagoas,Sítio Bálsamo
AL,Alagoas,Sítio Bálsamo,Centro
AL,Alagoas,Sítio Batinga
AL,Alagoas,Sítio Batinga,Centro
AL,Alagoas,Sítio do Capim
AL,Alagoas,Sítio do Capim,Centro
AL,Alagoas,Sítio Laranjal
AL,Alagoas,Sítio Laranjal,Centro
AL,Alagoas,Sítio Poção
AL,Alagoas,Sítio Poção,Centro
AL,Alagoas,Sta Cândida
AL,Alagoas,Sucupira Torta
AL,Alagoas,Sucupira Torta,Centro
AL,Alagoas,Taboca
AL,Alagoas,Taboquinha
AL,Alagoas,Taboquinha,Centro
AL,Alagoas,Tabuleiro dos Negros - Igreja Nova
AL,Alagoas,Tabuleiro dos Negros - Igreja Nova,Centro
AL,Alagoas,Tabuleiro Grande
AL,Alagoas,Tabuleiro Grande,Centro
AL,Alagoas,Tanque D'Arca
AL,Alagoas,Tanque D'Arca,Centro
AL,Alagoas,Tanque D'Arca,Zona Rural
AL,Alagoas,Tapera - Igreja Nova
AL,Alagoas,Tapera - Igreja Nova,Centro
AL,Alagoas,Tapera de Itiúba
AL,Alagoas,Tapera Nova
AL,Alagoas,Tapera Nova,Centro
AL,Alagoas,Taperagua
AL,Alagoas,Taperagua,Cabreira
AL,Alagoas,Taperagua,Centro
AL,Alagoas,Taperagua,Pedras
AL,Alagoas,Taperagua,Zona Rural
AL,Alagoas,Taquarana
AL,Alagoas,Taquarana,Centro
AL,Alagoas,Taquarana,Zona Rural
AL,Alagoas,Tatuamunha
AL,Alagoas,Tatuamunha,Centro
AL,Alagoas,Teotônio Vilela
AL,Alagoas,Teotônio Vilela,Centro
AL,Alagoas,Teotônio Vilela,Mutirao
AL,Alagoas,Teotônio Vilela,Vila Operaria
AL,Alagoas,Teotônio Vilela,Zona Rural
AL,Alagoas,Terra Nova
AL,Alagoas,Terra Nova,Centro
AL,Alagoas,Tibiri
AL,Alagoas,Tibiri,Centro
AL,Alagoas,Timbó
AL,Alagoas,Tinguí - Água Branca
AL,Alagoas,Tinguí - Água Branca,Centro
AL,Alagoas,Toque
AL,Alagoas,Traipu
AL,Alagoas,Traipu,Centro
AL,Alagoas,Traipu,Sem Bairro
AL,Alagoas,Tuquanduba
AL,Alagoas,Tuquanduba,Centro
AL,Alagoas,União dos Palmares
AL,Alagoas,União dos Palmares,Abolicao
AL,Alagoas,União dos Palmares,Alto Boa Vista
AL,Alagoas,União dos Palmares,Alto Cruzeiro
AL,Alagoas,União dos Palmares,Castelo Branco
AL,Alagoas,União dos Palmares,Centro
AL,Alagoas,União dos Palmares,Cohab Velha
AL,Alagoas,União dos Palmares,Costa e Silva
AL,Alagoas,União dos Palmares,Fatima
AL,Alagoas,União dos Palmares,Jaguaribe
AL,Alagoas,União dos Palmares,Jatiúca
AL,Alagoas,União dos Palmares,Roberto c Araujo
AL,Alagoas,União dos Palmares,Vaquejada
AL,Alagoas,União dos Palmares,Zona Rural
AL,Alagoas,Usina Capricho
AL,Alagoas,Usina Capricho,Centro
AL,Alagoas,Usina Guaxuma
AL,Alagoas,Usina Guaxuma,Centro
AL,Alagoas,Usina Laginha
AL,Alagoas,Usina Ouricuri
AL,Alagoas,Usina Ouricuri,Centro
AL,Alagoas,Usina Porto Alegre
AL,Alagoas,Usina Porto Alegre,Centro
AL,Alagoas,Usina Porto Rico
AL,Alagoas,Usina Porto Rico,Centro
AL,Alagoas,Usina Rocadinha
AL,Alagoas,Usina Roçadinho
AL,Alagoas,Usina Roçadinho,Centro
AL,Alagoas,Usina Santa Clotilde
AL,Alagoas,Usina Santana
AL,Alagoas,Usina Santana,Centro
AL,Alagoas,Usina Santo Antônio
AL,Alagoas,Usina Santo Antônio,Centro
AL,Alagoas,Usina Santo Antônio,Zr Usina Sto Antônio
AL,Alagoas,Usina São Simeão
AL,Alagoas,Usina São Simeão,Centro
AL,Alagoas,Usina Serra Grande
AL,Alagoas,Usina Serra Grande,Centro
AL,Alagoas,Usina Sinimbu
AL,Alagoas,Usina Sinimbu,Centro
AL,Alagoas,Usina Utinga Leão
AL,Alagoas,Usina Utinga Leão,Centro
AL,Alagoas,Valha-Me Deus
AL,Alagoas,Várzea de Dona Joana
AL,Alagoas,Várzea de Dona Joana,Centro
AL,Alagoas,Várzea Grande
AL,Alagoas,Várzea Grande,Centro
AL,Alagoas,Varzinha
AL,Alagoas,Varzinha,Centro
AL,Alagoas,Viçosa
AL,Alagoas,Viçosa,Centro
AL,Alagoas,Viçosa,Cidade Deus
AL,Alagoas,Viçosa,Ouro Preto
AL,Alagoas,Viçosa,Zona Rural
AL,Alagoas,Vila Cangandu
AL,Alagoas,Vila Cangandu,Centro
AL,Alagoas,Vila de São Francisco - Paulo Jacinto
AL,Alagoas,Vila de São Francisco - Paulo Jacinto,Centro
AL,Alagoas,Vila Nova
AL,Alagoas,Vila Nova,Centro
AL,Alagoas,Vila Santo Antônio
AL,Alagoas,Vila Santo Antônio,Centro
AL,Alagoas,Xingó
AL,Alagoas,Xingó,Centro
AL,Alagoas,Xingó,n s Saude
